--- Running testcase sched_jitter  ---
Thu May 16 11:32:53 CEST 2019
Logging to /home/iocuser/ics_gitsrc/e3-tools/rt_conf/ltp/testcases/realtime/logs/ip7-21-x86_64-4.9.0-9-rt-amd64-2019-05-16-sched_jitter.log
delta: 220582503 ns
delta: 220186517 ns
delta: 221467771 ns
delta: 220149108 ns
delta: 220165639 ns
delta: 219975483 ns
delta: 221421627 ns
delta: 220590534 ns
delta: 221197697 ns
delta: 220567360 ns
delta: 220251859 ns
delta: 220641787 ns
delta: 220613916 ns
delta: 220898020 ns
delta: 221092189 ns
delta: 220960917 ns
delta: 220624553 ns
delta: 219152887 ns
delta: 220675590 ns
delta: 221382001 ns
delta: 220501616 ns
delta: 219645987 ns
delta: 220245433 ns
delta: 221080593 ns
delta: 220825220 ns
delta: 221160293 ns
delta: 220686621 ns
delta: 221050139 ns
delta: 220783593 ns
delta: 221424993 ns
delta: 220809741 ns
delta: 220754985 ns
delta: 221287877 ns
delta: 220715627 ns
delta: 221164990 ns
delta: 220538554 ns
delta: 221101568 ns
delta: 220647556 ns
delta: 221346840 ns
delta: 220859632 ns
delta: 220826118 ns
delta: 220625196 ns
delta: 221248839 ns
delta: 220866451 ns
delta: 221291795 ns
delta: 220797678 ns
delta: 220952973 ns
delta: 220622334 ns
delta: 219781970 ns
delta: 216716467 ns
delta: 220093490 ns
delta: 216253157 ns
delta: 217315172 ns
delta: 217790520 ns
delta: 217935797 ns
delta: 219723581 ns
delta: 218023656 ns
delta: 217328793 ns
delta: 219049997 ns
delta: 219704061 ns
delta: 219816913 ns
delta: 215392666 ns
delta: 218539317 ns
delta: 218667479 ns
delta: 216409677 ns
delta: 216025157 ns
delta: 219883888 ns
delta: 220327576 ns
delta: 218591693 ns
delta: 215984227 ns
delta: 218780883 ns
delta: 220663760 ns
delta: 219344289 ns
delta: 220313283 ns
delta: 215583998 ns
delta: 216917838 ns
delta: 215780171 ns
delta: 217726879 ns
delta: 215151264 ns
delta: 219301071 ns
delta: 219697590 ns
delta: 218526519 ns
delta: 217960937 ns
delta: 214188869 ns
delta: 217424326 ns
delta: 219782491 ns
delta: 219276470 ns
delta: 218279206 ns
delta: 215758123 ns
delta: 214237730 ns
delta: 218677745 ns
delta: 218474231 ns
delta: 216811049 ns
delta: 217019653 ns
delta: 214777338 ns
delta: 218888584 ns
delta: 215562839 ns
delta: 218274573 ns
delta: 218060365 ns
delta: 219657786 ns
delta: 219091331 ns
delta: 218898770 ns
delta: 217964114 ns
delta: 217192813 ns
delta: 218343366 ns
delta: 215581455 ns
delta: 215506902 ns
delta: 217444811 ns
delta: 217210276 ns
delta: 219372113 ns
delta: 217147554 ns
delta: 216757605 ns
delta: 217859294 ns
delta: 213584689 ns
delta: 217889397 ns
delta: 220646139 ns
delta: 217142032 ns
delta: 215708351 ns
delta: 217733208 ns
delta: 219083959 ns
delta: 217989750 ns
delta: 219462099 ns
delta: 220631897 ns
delta: 218464746 ns
delta: 215930197 ns
delta: 217659263 ns
delta: 220119970 ns
delta: 215956385 ns
delta: 220024257 ns
delta: 219858487 ns
delta: 219869842 ns
delta: 216067566 ns
delta: 216578166 ns
delta: 220480646 ns
delta: 216191567 ns
delta: 220017949 ns
delta: 220607272 ns
delta: 221263342 ns
delta: 219760992 ns
delta: 220702777 ns
delta: 220016663 ns
delta: 220563272 ns
delta: 221051064 ns
delta: 220194369 ns
delta: 221078125 ns
delta: 220405601 ns
delta: 221348483 ns
delta: 220623072 ns
delta: 215886912 ns
delta: 220471027 ns
delta: 220286436 ns
delta: 220337759 ns
delta: 220283089 ns
delta: 221166003 ns
delta: 220717797 ns
delta: 221246570 ns
delta: 220768257 ns
delta: 221231406 ns
delta: 220267409 ns
delta: 219488500 ns
delta: 220788528 ns
delta: 220921901 ns
delta: 221200109 ns
delta: 220282452 ns
delta: 221028073 ns
delta: 220792777 ns
delta: 220413300 ns
delta: 220593949 ns
delta: 221867508 ns
delta: 220794588 ns
delta: 221208920 ns
delta: 220370717 ns
delta: 220908716 ns
delta: 220661097 ns
delta: 220609901 ns
delta: 220275703 ns
delta: 220360364 ns
delta: 220472653 ns
delta: 221616532 ns
delta: 220630292 ns
delta: 220994772 ns
delta: 220287321 ns
delta: 221010383 ns
delta: 220734932 ns
delta: 221020380 ns
delta: 220163637 ns
delta: 221292098 ns
delta: 220755057 ns
delta: 221396778 ns
delta: 220761321 ns
delta: 220863588 ns
delta: 220644191 ns
delta: 221795133 ns
delta: 220946462 ns
delta: 220980460 ns
delta: 221133878 ns
delta: 219602915 ns
delta: 221241512 ns
delta: 220719442 ns
delta: 220681413 ns
delta: 220717078 ns
delta: 221363447 ns
delta: 220532009 ns
delta: 220438248 ns
delta: 220802321 ns
delta: 220948099 ns
delta: 220320874 ns
delta: 220366685 ns
delta: 220650948 ns
delta: 219774358 ns
delta: 220802253 ns
delta: 221685735 ns
delta: 220781940 ns
delta: 220258186 ns
delta: 220951895 ns
delta: 220777685 ns
delta: 220369418 ns
delta: 221344898 ns
delta: 220896928 ns
delta: 220905914 ns
delta: 220769435 ns
delta: 220718268 ns
delta: 219952970 ns
delta: 220707015 ns
delta: 220966764 ns
delta: 221005502 ns
delta: 220234710 ns
delta: 221427627 ns
delta: 220451845 ns
delta: 220749888 ns
delta: 220730154 ns
delta: 220740073 ns
delta: 220683934 ns
delta: 219957774 ns
delta: 220439673 ns
delta: 218556714 ns
delta: 219873537 ns
delta: 220983537 ns
delta: 220697176 ns
delta: 221000941 ns
delta: 220830569 ns
delta: 221212213 ns
delta: 220741892 ns
delta: 220829256 ns
delta: 219768272 ns
delta: 221698703 ns
delta: 220492456 ns
delta: 221119599 ns
delta: 220712688 ns
delta: 221300648 ns
delta: 220963171 ns
delta: 221281767 ns
delta: 220229982 ns
delta: 221023486 ns
delta: 220776704 ns
delta: 221235680 ns
delta: 220182257 ns
delta: 221067422 ns
delta: 220786514 ns
delta: 221809376 ns
delta: 220718834 ns
delta: 221497853 ns
delta: 220563669 ns
delta: 221299686 ns
delta: 220836577 ns
delta: 220821053 ns
delta: 221192711 ns
delta: 220891346 ns
delta: 220763389 ns
delta: 221296022 ns
delta: 220052743 ns
delta: 221131760 ns
delta: 220608203 ns
delta: 220942271 ns
delta: 220677812 ns
delta: 219695706 ns
delta: 220240632 ns
delta: 221748966 ns
delta: 220858359 ns
delta: 220344165 ns
delta: 220277546 ns
delta: 221410633 ns
delta: 220594182 ns
delta: 220980965 ns
delta: 220542499 ns
delta: 219532982 ns
delta: 220163257 ns
delta: 220994364 ns
delta: 220671258 ns
delta: 220647725 ns
delta: 220589090 ns
delta: 221125052 ns
delta: 220054639 ns
delta: 220240103 ns
delta: 220218140 ns
delta: 221479542 ns
delta: 220471433 ns
delta: 220872078 ns
delta: 219696501 ns
delta: 220206127 ns
delta: 220166078 ns
delta: 220787561 ns
delta: 220188964 ns
delta: 220651080 ns
delta: 220756636 ns
delta: 221376795 ns
delta: 219725624 ns
delta: 220775572 ns
delta: 220764265 ns
delta: 221120362 ns
delta: 220636149 ns
delta: 221269418 ns
delta: 220735129 ns
delta: 220757760 ns
delta: 218843885 ns
delta: 220449505 ns
delta: 220419093 ns
delta: 221526734 ns
delta: 220628022 ns
delta: 221334005 ns
delta: 220722348 ns
delta: 220602631 ns
delta: 220605746 ns
delta: 221104574 ns
delta: 219955251 ns
